window,seq_auc,relaxed_auc,diff
490,0.9192,0.9252,0.0060
491,0.8718,0.8836,0.0118
492,0.8376,0.8172,-0.0204
493,0.8356,0.8440,0.0084
494,0.8470,0.8220,-0.0250
495,0.8876,0.8880,0.0004
496,0.8132,0.8126,-0.0006
497,0.9452,0.9444,-0.0008
498,0.8910,0.8804,-0.0106
499,0.8620,0.8648,0.0028
500,0.8358,0.8382,0.0024
501,0.8822,0.8822,-0.0000
502,0.8932,0.8974,0.0042
503,0.8708,0.8664,-0.0044
504,0.9022,0.8990,-0.0032
505,0.8468,0.8620,0.0152
506,0.8376,0.8320,-0.0056
507,0.8096,0.8080,-0.0016
508,0.8606,0.8902,0.0296
509,0.8452,0.8382,-0.0070
510,0.8318,0.8206,-0.0112
511,0.8256,0.8300,0.0044
512,0.8188,0.8236,0.0048
513,0.8582,0.8692,0.0110
514,0.8696,0.8706,0.0010
515,0.7876,0.8366,0.0490
516,0.8948,0.9028,0.0080
517,0.8892,0.8792,-0.0100
518,0.8228,0.8736,0.0508
519,0.8020,0.8354,0.0334
520,0.8066,0.8574,0.0508
521,0.8820,0.9100,0.0280
522,0.8578,0.8252,-0.0326
523,0.8964,0.9064,0.0100
524,0.8838,0.8948,0.0110
525,0.8006,0.8238,0.0232
526,0.8208,0.8032,-0.0176
527,0.8584,0.8608,0.0024
528,0.8498,0.8566,0.0068
529,0.9100,0.9330,0.0230
530,0.8472,0.8456,-0.0016
531,0.9210,0.9280,0.0070
532,0.8958,0.9018,0.0060
533,0.8296,0.8602,0.0306
534,0.8898,0.8814,-0.0084
535,0.8696,0.8360,-0.0336
536,0.8762,0.8964,0.0202
537,0.8474,0.8600,0.0126
538,0.8816,0.8894,0.0078
539,0.8584,0.8500,-0.0084
540,0.8608,0.8852,0.0244
541,0.8264,0.8730,0.0466
542,0.8562,0.8820,0.0258
543,0.8206,0.8624,0.0418
544,0.9312,0.9072,-0.0240
545,0.9016,0.9012,-0.0004
546,0.8516,0.8208,-0.0308
547,0.8642,0.8716,0.0074
548,0.9020,0.8894,-0.0126
549,0.9140,0.8906,-0.0234
550,0.8552,0.8326,-0.0226
551,0.8948,0.8960,0.0012
552,0.8150,0.8450,0.0300
553,0.8838,0.9022,0.0184
554,0.8200,0.8318,0.0118
555,0.8140,0.8264,0.0124
556,0.7974,0.8230,0.0256
557,0.8594,0.8628,0.0034
558,0.9106,0.8864,-0.0242
559,0.8340,0.8720,0.0380
560,0.8194,0.8428,0.0234
561,0.8478,0.8694,0.0216
562,0.8376,0.8524,0.0148
563,0.8346,0.8506,0.0160
564,0.8046,0.8396,0.0350
565,0.9106,0.8928,-0.0178
566,0.9284,0.9016,-0.0268
567,0.8404,0.8714,0.0310
568,0.8704,0.9044,0.0340
569,0.8774,0.8944,0.0170
570,0.8220,0.7960,-0.0260
571,0.8818,0.8914,0.0096
572,0.8936,0.9042,0.0106
573,0.8898,0.8776,-0.0122
574,0.8510,0.8700,0.0190
575,0.8438,0.8528,0.0090
576,0.7436,0.7618,0.0182
577,0.7844,0.8074,0.0230
578,0.7902,0.7918,0.0016
579,0.8382,0.8594,0.0212
580,0.8014,0.8384,0.0370
581,0.8652,0.8522,-0.0130
582,0.9036,0.8838,-0.0198
583,0.8896,0.8894,-0.0002
584,0.9124,0.9032,-0.0092
585,0.8004,0.7914,-0.0090
586,0.8862,0.8910,0.0048
587,0.8482,0.8670,0.0188
588,0.8284,0.8308,0.0024
589,0.8714,0.8730,0.0016
590,0.8318,0.8626,0.0308
591,0.8810,0.8672,-0.0138
592,0.8742,0.8750,0.0008
593,0.8370,0.8512,0.0142
594,0.8294,0.8230,-0.0064
595,0.8916,0.8908,-0.0008
596,0.9196,0.9036,-0.0160
597,0.8296,0.8460,0.0164
598,0.8036,0.8012,-0.0024
599,0.9044,0.9056,0.0012
600,0.8280,0.8304,0.0024
601,0.8704,0.8724,0.0020
602,0.7962,0.8260,0.0298
603,0.7804,0.7938,0.0134
604,0.8346,0.8478,0.0132
605,0.8420,0.8460,0.0040
606,0.8028,0.8272,0.0244
607,0.8816,0.8930,0.0114
608,0.8696,0.8676,-0.0020
609,0.9154,0.9034,-0.0120
610,0.8132,0.8148,0.0016
611,0.8776,0.9048,0.0272
612,0.8748,0.8640,-0.0108
613,0.8704,0.8678,-0.0026
614,0.8656,0.8752,0.0096
615,0.8932,0.8882,-0.0050
616,0.8844,0.8894,0.0050
617,0.8686,0.8804,0.0118
618,0.9346,0.9544,0.0198
619,0.9114,0.9174,0.0060
620,0.8790,0.8814,0.0024
621,0.8918,0.9020,0.0102
622,0.9118,0.9488,0.0370
623,0.8618,0.8848,0.0230
624,0.9166,0.9244,0.0078
625,0.8520,0.8926,0.0406
626,0.8796,0.8914,0.0118
627,0.8482,0.8570,0.0088
628,0.8730,0.8966,0.0236
629,0.8910,0.9040,0.0130
630,0.9026,0.9252,0.0226
631,0.8660,0.8828,0.0168
632,0.8870,0.8754,-0.0116
633,0.9090,0.9118,0.0028
634,0.8442,0.8532,0.0090
635,0.8558,0.8898,0.0340
636,0.8576,0.8474,-0.0102
637,0.8736,0.8866,0.0130
638,0.8302,0.8566,0.0264
639,0.9066,0.9308,0.0242
640,0.8530,0.8528,-0.0002
641,0.8846,0.9112,0.0266
642,0.8480,0.8806,0.0326
643,0.8670,0.8862,0.0192
644,0.8922,0.8910,-0.0012
645,0.8848,0.8976,0.0128
646,0.8850,0.8578,-0.0272
647,0.8740,0.9198,0.0458
648,0.7930,0.8390,0.0460
649,0.9004,0.9094,0.0090
650,0.9056,0.8944,-0.0112
651,0.8814,0.8570,-0.0244
652,0.8656,0.8648,-0.0008
653,0.8726,0.8792,0.0066
654,0.8238,0.8230,-0.0008
655,0.8986,0.8806,-0.0180
656,0.8962,0.8804,-0.0158
657,0.8218,0.8674,0.0456
658,0.8798,0.9070,0.0272
659,0.8518,0.8894,0.0376
660,0.8470,0.8012,-0.0458
661,0.8670,0.8828,0.0158
662,0.8768,0.8904,0.0136
663,0.8902,0.8900,-0.0002
664,0.8704,0.9016,0.0312
665,0.8374,0.8490,0.0116
666,0.8292,0.8634,0.0342
667,0.9086,0.9112,0.0026
668,0.8848,0.8952,0.0104
669,0.9090,0.8852,-0.0238
670,0.9100,0.9114,0.0014
671,0.8798,0.9170,0.0372
672,0.7768,0.7718,-0.0050
673,0.8446,0.8114,-0.0332
674,0.8740,0.8986,0.0246
675,0.9016,0.9052,0.0036
676,0.8258,0.8354,0.0096
677,0.8794,0.8606,-0.0188
678,0.9032,0.8960,-0.0072
679,0.9090,0.9228,0.0138
680,0.8940,0.9194,0.0254
681,0.8730,0.8650,-0.0080
682,0.8302,0.8546,0.0244
683,0.9198,0.8906,-0.0292
684,0.8608,0.8658,0.0050
685,0.8896,0.8994,0.0098
686,0.8602,0.8664,0.0062
687,0.8324,0.8384,0.0060
688,0.8970,0.8768,-0.0202
689,0.8430,0.8658,0.0228
690,0.8406,0.8304,-0.0102
691,0.8506,0.8520,0.0014
692,0.8440,0.8436,-0.0004
693,0.8408,0.8354,-0.0054
694,0.8416,0.8302,-0.0114
695,0.7998,0.7906,-0.0092
696,0.8576,0.8206,-0.0370
697,0.8896,0.9076,0.0180
698,0.8266,0.8580,0.0314
699,0.7978,0.7872,-0.0106
700,0.7988,0.8020,0.0032
701,0.8534,0.8602,0.0068
702,0.8228,0.8348,0.0120
703,0.8250,0.8662,0.0412
704,0.8328,0.8516,0.0188
705,0.8196,0.8022,-0.0174
706,0.9094,0.9110,0.0016
707,0.8664,0.8786,0.0122
708,0.8828,0.9004,0.0176
709,0.8364,0.8522,0.0158
710,0.8912,0.9020,0.0108
711,0.8816,0.8676,-0.0140
712,0.8936,0.8862,-0.0074
713,0.8630,0.8782,0.0152
714,0.8318,0.8918,0.0600
715,0.8364,0.8176,-0.0188
716,0.9222,0.9350,0.0128
717,0.8646,0.8924,0.0278
718,0.8388,0.8676,0.0288
719,0.8346,0.8678,0.0332
720,0.9166,0.9272,0.0106
721,0.8488,0.8510,0.0022
722,0.9126,0.9056,-0.0070
723,0.8832,0.8864,0.0032
724,0.9220,0.9276,0.0056
725,0.9038,0.9130,0.0092
726,0.8630,0.8772,0.0142
727,0.8862,0.8720,-0.0142
728,0.8596,0.8920,0.0324
729,0.8730,0.9022,0.0292
730,0.9062,0.9102,0.0040
731,0.8970,0.9382,0.0412
732,0.8976,0.8980,0.0004
733,0.9254,0.9208,-0.0046
734,0.8770,0.8962,0.0192
735,0.8662,0.8320,-0.0342
736,0.9132,0.9120,-0.0012
737,0.8428,0.8888,0.0460
738,0.8694,0.8956,0.0262
739,0.8736,0.8674,-0.0062
740,0.8434,0.8540,0.0106
741,0.8858,0.9136,0.0278
742,0.8488,0.8718,0.0230
743,0.9054,0.8894,-0.0160
744,0.8826,0.8882,0.0056
745,0.8684,0.8496,-0.0188
746,0.8142,0.8672,0.0530
747,0.8112,0.8408,0.0296
748,0.8694,0.8842,0.0148
749,0.8284,0.8550,0.0266
750,0.8350,0.8516,0.0166
751,0.9046,0.8762,-0.0284
752,0.8510,0.8320,-0.0190
753,0.8840,0.8986,0.0146
754,0.8866,0.9186,0.0320
755,0.8908,0.9068,0.0160
756,0.8550,0.8642,0.0092
757,0.7996,0.8348,0.0352
758,0.8606,0.8658,0.0052
759,0.8046,0.8224,0.0178
760,0.8404,0.8652,0.0248
761,0.7920,0.8416,0.0496
762,0.8760,0.8816,0.0056
763,0.9014,0.8836,-0.0178
764,0.8612,0.8386,-0.0226
765,0.8572,0.8438,-0.0134
766,0.9136,0.8972,-0.0164
767,0.8726,0.8592,-0.0134
768,0.9034,0.9226,0.0192
769,0.8440,0.8478,0.0038
770,0.8814,0.8748,-0.0066
771,0.9056,0.8696,-0.0360
772,0.9042,0.9236,0.0194
773,0.8162,0.8312,0.0150
774,0.8816,0.8834,0.0018
775,0.9052,0.9256,0.0204
776,0.8496,0.8380,-0.0116
777,0.8636,0.8442,-0.0194
778,0.9328,0.9442,0.0114
779,0.8612,0.8628,0.0016
780,0.8350,0.8610,0.0260
781,0.8716,0.8622,-0.0094
782,0.8868,0.8546,-0.0322
783,0.9070,0.9234,0.0164
784,0.9032,0.9310,0.0278
785,0.8312,0.8330,0.0018
786,0.8756,0.8996,0.0240
787,0.8682,0.9110,0.0428
788,0.8848,0.8638,-0.0210
789,0.8600,0.8656,0.0056
790,0.8530,0.8258,-0.0272
791,0.8742,0.8574,-0.0168
792,0.9184,0.8942,-0.0242
793,0.8662,0.8840,0.0178
794,0.8712,0.8888,0.0176
795,0.8410,0.8608,0.0198
796,0.8664,0.8582,-0.0082
797,0.8674,0.8450,-0.0224
798,0.8310,0.8244,-0.0066
799,0.8148,0.7980,-0.0168
800,0.7990,0.8042,0.0052
801,0.8622,0.8634,0.0012
802,0.8950,0.9076,0.0126
803,0.9148,0.9208,0.0060
804,0.8794,0.8890,0.0096
