window,seq_auc,relaxed_auc,diff
499,0.9442,0.9476,0.0034
500,0.9518,0.9650,0.0132
501,0.9553,0.9429,-0.0124
502,0.9262,0.9273,0.0011
503,0.9203,0.9254,0.0051
504,0.9542,0.9346,-0.0196
505,0.9552,0.9623,0.0071
506,0.9449,0.9438,-0.0012
507,0.9367,0.9294,-0.0073
508,0.9335,0.9483,0.0148
509,0.9111,0.9157,0.0046
510,0.9171,0.9346,0.0175
511,0.9266,0.9285,0.0019
512,0.9460,0.9606,0.0146
513,0.9208,0.9222,0.0014
514,0.9220,0.9188,-0.0032
515,0.9027,0.9124,0.0097
516,0.9363,0.9318,-0.0045
517,0.9388,0.9273,-0.0115
518,0.9243,0.9158,-0.0085
519,0.8911,0.9107,0.0196
520,0.9232,0.9211,-0.0021
521,0.9441,0.9329,-0.0112
522,0.9340,0.9235,-0.0105
523,0.9715,0.9791,0.0076
524,0.9319,0.9232,-0.0087
525,0.9304,0.9461,0.0157
526,0.9657,0.9447,-0.0210
527,0.9599,0.9504,-0.0095
528,0.9103,0.9398,0.0295
529,0.9082,0.9158,0.0076
530,0.9319,0.9542,0.0223
531,0.8822,0.9054,0.0232
532,0.9173,0.9405,0.0232
533,0.9495,0.9320,-0.0175
534,0.9022,0.9189,0.0167
535,0.9198,0.9276,0.0078
536,0.9271,0.9222,-0.0049
537,0.9366,0.9251,-0.0115
538,0.9191,0.9371,0.0180
539,0.9600,0.9499,-0.0101
540,0.8932,0.9277,0.0345
541,0.8990,0.9153,0.0163
542,0.9309,0.9400,0.0091
543,0.9361,0.9376,0.0015
544,0.9532,0.9563,0.0031
545,0.9240,0.9197,-0.0043
546,0.9169,0.9425,0.0256
547,0.9563,0.9434,-0.0129
548,0.9574,0.9594,0.0020
549,0.9400,0.9531,0.0131
550,0.9583,0.9652,0.0069
551,0.9053,0.9002,-0.0051
552,0.9604,0.9265,-0.0339
553,0.9610,0.9508,-0.0102
554,0.9380,0.9344,-0.0036
555,0.9427,0.9498,0.0071
556,0.9300,0.9617,0.0317
557,0.9275,0.9324,0.0049
558,0.9001,0.9292,0.0291
559,0.9216,0.9492,0.0276
560,0.9472,0.9400,-0.0072
561,0.9476,0.9457,-0.0019
562,0.9434,0.9364,-0.0070
563,0.9566,0.9483,-0.0083
564,0.9327,0.9513,0.0186
565,0.9139,0.9285,0.0146
566,0.9308,0.9524,0.0216
567,0.9567,0.9369,-0.0198
568,0.9540,0.9259,-0.0281
569,0.9357,0.9419,0.0062
570,0.9266,0.9263,-0.0003
571,0.9426,0.9516,0.0090
572,0.9444,0.9241,-0.0203
573,0.9530,0.9459,-0.0071
574,0.9443,0.9356,-0.0087
575,0.9415,0.9472,0.0057
576,0.9277,0.9313,0.0036
577,0.9347,0.9324,-0.0023
578,0.9490,0.9609,0.0119
579,0.9390,0.9427,0.0037
580,0.9436,0.9341,-0.0095
581,0.9108,0.9044,-0.0064
582,0.9517,0.9475,-0.0042
583,0.8731,0.8782,0.0051
584,0.9109,0.9158,0.0049
585,0.9311,0.9353,0.0042
586,0.9489,0.9352,-0.0137
587,0.9340,0.9493,0.0153
588,0.9381,0.9393,0.0012
589,0.9284,0.9355,0.0071
590,0.9215,0.9026,-0.0189
591,0.8899,0.9114,0.0215
592,0.9328,0.9224,-0.0104
593,0.9200,0.9508,0.0308
594,0.9435,0.9320,-0.0115
595,0.9483,0.9533,0.0050
596,0.9337,0.9107,-0.0230
597,0.9210,0.9252,0.0042
598,0.9717,0.9518,-0.0199
599,0.9537,0.9576,0.0039
600,0.9373,0.8923,-0.0450
601,0.9254,0.9185,-0.0069
602,0.9328,0.9310,-0.0018
603,0.9501,0.9380,-0.0121
604,0.9289,0.9291,0.0002
605,0.9334,0.9281,-0.0053
606,0.9175,0.9376,0.0201
607,0.9089,0.9251,0.0162
608,0.9112,0.9220,0.0108
609,0.9435,0.9454,0.0019
610,0.9647,0.9616,-0.0031
611,0.9561,0.9538,-0.0023
612,0.9233,0.9203,-0.0030
613,0.9412,0.9521,0.0109
614,0.9245,0.9128,-0.0117
615,0.9379,0.9012,-0.0367
616,0.9684,0.9650,-0.0034
617,0.9284,0.9332,0.0048
